"source","target"
"account.journal,name","account.journal,name"
"payment.type,name","account.payment.type,name"
"account.payment.term,name","account.invoice.payment_term,name"
"account.payment.term,note","account.invoice.payment_term,description"
"payment.type,name","account.payment.type,name"
"product.category,name","product.category,name"
"product.pricelist,name",
"product.template,description","product.product,description"
"product.template,description_sale","product.product,description"
"product.template,name","product.template,name"
"res.partner.category,name","party.category,name"
"stock.location,name","stock.location,name"
